clean_desc,variety
white fruit citrus apple,Glera
crisp apple acidity,Chardonnay
wood black fruit acidity,Portuguese Red
crisp pear,Chardonnay
red crisp red,Cabernet Sauvignon
apple white,Viognier
acidity rich,Cabernet Sauvignon
red berry cherry pepper,Sangiovese
apple sweet fruit acid,Pinot Grigio
wood oak,Cabernet Franc
fruit,Chardonnay
dry,White Blend
oak lemon,Chardonnay
light black acidity tannin,Portuguese Red
citrus dry citrus fruit,Rosé
oak,Cabernet Sauvignon
lemon dry acidity sweet,Riesling
citrus,Sauvignon Blanc
black,Malbec
red crisp acidity,Rosé
red berry acidity,Gamay
berry fruit,Portuguese Red
oak black cherry oak,Pinot Noir
red cherry structure acidity cherry,Pinot Noir
citrus,Sparkling Blend
citrus pear,Chardonnay
acidity red cherry,Pinot Noir
fruit oak,Pinot Noir
vanilla rich sweet,Zinfandel
black pepper vanilla,Cabernet Sauvignon
red,Tempranillo
fruit apple mineral acidity,White Blend
light pear fruit apple,Chardonnay
fruit dry,Barbera
crisp lemon apple pear light oak,Chardonnay
red black pepper black fruit dry,Cabernet Sauvignon
earth,Grenache
cherry red fruit,Zinfandel
fruit,Rhône-style Red Blend
cherry vanilla oak cherry oak vanilla crisp,Tempranillo
red red berry,Rosé
citrus,Rosé
citrus light white oak dry oak acidity,Sauvignon Blanc
cherry light acidity red fruit,Grenache
rich fruit apple lemon oak,Chardonnay
fruit apple acidity fruit,Albariño
red cherry rich fruit acidity,Pinot Noir
spicy red berry black pepper,Zinfandel
white citrus fruit,Albariño
berry vanilla,Syrah
light cherry fruit acidity,Pinot Noir
lemon vanilla white citrus,White Blend
apple vanilla apple dry apple citrus,Sparkling Blend
black,Carmenère
dry wood berry structure acidity,Bordeaux-style Red Blend
fruit spicy oak oak,Sangiovese
acidity acidity,Tempranillo
berry,Red Blend
cherry,Bordeaux-style Red Blend
fruit black cherry black,Pinot Noir
lemon honey mineral apple pear,Viognier
spicy berry fruit light,Pinot Noir
red,Red Blend
black cherry black pepper,Red Blend
light crisp butter rich,Chardonnay
fruit,Pinot Noir
light fruit red fruit acidity,Pinot Noir
oak cherry fruit,Rhône-style Red Blend
oak vanilla sweet black cherry black,Sangiovese
oak black fruit,Red Blend
black cherry tannin oak structure acidity,Cabernet Sauvignon
berry,Red Blend
acidity lemon oak,Chardonnay
oak black cherry rich red fruit,Syrah
light black cherry,Pinot Noir
berry,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
black earth,Zinfandel
cherry black cherry fruit,Zinfandel
berry,Red Blend
berry crisp structure oak,Malbec
fruit mineral structure red,Bordeaux-style Red Blend
rich wood,Bordeaux-style Red Blend
wood fruit fruit,Bordeaux-style Red Blend
wood acidity,Bordeaux-style Red Blend
wood black,Bordeaux-style Red Blend
creamy lemon apple,Chardonnay
dry cherry,Malbec
mineral pear crisp,Chardonnay
dry apple pear lemon,Riesling
dry lemon,Riesling
crisp spicy,Cabernet Franc
red acidity rich structure,Bordeaux-style Red Blend
structure fruit,Bordeaux-style Red Blend
pear white sweet spicy,Gewürztraminer
fruit dry,Merlot
cherry vanilla cherry rich,Cabernet Sauvignon
light,Cabernet Franc
light wood red fruit sweet rich fruit,Grenache
crisp citrus pepper,Sparkling Blend
spicy fruit black rich,Portuguese Red
berry black cherry mineral structure,Nebbiolo
cherry,Zinfandel
black cherry black pepper,Nebbiolo
rich crisp,Riesling
rich fruit apple acidity,Riesling
berry black cherry white pepper,Nebbiolo
rich acidity,Riesling
structure,Riesling
rich fruit structure,Riesling
cherry,Zinfandel
berry earth black cherry black pepper,Nebbiolo
rich fruit light,Bordeaux-style White Blend
white pepper acidity fruit berry,Syrah
oak berry cherry fruit,Cabernet Sauvignon
cherry fruit acidity,Syrah
wood berry,Portuguese Red
light vanilla cherry,Cabernet Sauvignon
spicy acidity structure,Cabernet Sauvignon
fruit black cherry,Cabernet Sauvignon
berry red cherry black acidity,Nebbiolo
rich white citrus,Riesling
rich dry mineral,Riesling
mineral fruit rich dry,Riesling
rich black structure acidity,Portuguese Red
berry black cherry pepper acidity,Nebbiolo
black acidity,Bordeaux-style Red Blend
rich crisp acidity,Bordeaux-style White Blend
crisp mineral acidity,Bordeaux-style White Blend
rich,Bordeaux-style Red Blend
crisp acidity,Bordeaux-style White Blend
apple,Chardonnay
fruit light fruit,Pinot Noir
red berry cherry red,Rosé
vanilla apple,Chardonnay
red cherry fruit sweet black pepper,Merlot
red berry fruit,Nebbiolo
black cherry fruit,Pinot Noir
oak acidity,Pinot Noir
black oak black pepper cherry oak vanilla wood,Nebbiolo
white acidity fruit,Sauvignon Blanc
light,Pinot Noir
black cherry,Nebbiolo
black fruit oak,Tempranillo
black cherry red berry oak,Tempranillo Blend
pepper,Red Blend
black cherry oak dry,Nebbiolo
lemon crisp rich fruit acidity,Sauvignon Blanc
lemon,Pinot Grigio
light pear apple pear,Chardonnay
acidity black rich,Cabernet Sauvignon
tannin fruit black cherry,Pinot Noir
rich wood rich fruit mineral citrus fruit acidity,Chardonnay
acidity oak,Chardonnay
rich,Rhône-style Red Blend
dry dry lemon vanilla,Sparkling Blend
acidity,Pinot Noir
wood creamy vanilla acidity,Portuguese White
rich crisp acidity dry,Pinot Noir
black acidity,Malbec
wood structure rich dry,Bordeaux-style Red Blend
fruit acidity,Cabernet Sauvignon
rich dry,Syrah
creamy fruit wood rich,Chardonnay
structure black fruit,Bordeaux-style Red Blend
rich mineral,Chardonnay
fruit,Pinot Noir
fruit dry acidity red,Pinot Noir
acidity rich,Pinot Gris
oak sweet dry,Syrah
dry vanilla crisp acidity,Pinot Noir
apple pear creamy acidity,Pinot Grigio
light acidity rich oak,Pinot Noir
fruit acidity,Zinfandel
earth black fruit,Syrah
dry white pear crisp mineral dry acidity,Riesling
black black cherry,Red Blend
dry fruit white light white vanilla,Riesling
white,Chardonnay
black cherry fruit earth mineral,Pinot Noir
black fruit spicy oak red black cherry fruit,Pinot Noir
tannin fruit,Pinot Noir
fruit black wood fruit black cherry light sweet,Pinot Noir
red cherry earth acidity pepper black,Pinot Noir
red fruit tannin black pepper fruit acidity,Cabernet Sauvignon
cherry,Pinot Noir
crisp acidity black,Cabernet Sauvignon
creamy crisp acidity apple honey,Sparkling Blend
black cherry fruit,Pinot Noir
black fruit fruit,Syrah
spicy sweet berry rich cherry berry fruit oak,Tempranillo Blend
red rich red,Rosé
black fruit berry,Red Blend
fruit red fruit rich tannin black pepper,Cabernet Sauvignon
oak pepper,Cabernet Sauvignon
wood red,Rosé
wood rich black acidity,Malbec
apple white pepper oak,Chardonnay
berry white pepper black cherry,Nebbiolo
apple dry acidity,Riesling
rich red fruit vanilla berry tannin oak fruit,Cabernet Sauvignon
vanilla crisp apple fruit acidity apple lemon citrus,Albariño
pear vanilla creamy,Sauvignon Blanc
berry cherry fruit,Pinot Noir
dry crisp light,Syrah
fruit berry cherry pepper acidity,Nebbiolo
berry black cherry black pepper acidity,Nebbiolo
red black,Cabernet Sauvignon
berry oak red cherry oak acidity,Nebbiolo
black,Pinot Noir
vanilla apple lemon lemon acidity,Chardonnay
light white white,Chardonnay
red berry cherry white pepper spicy structure,Nebbiolo
white lemon pear red apple white,Chardonnay
cherry fruit,Pinot Noir
creamy dry white citrus fruit acidity mineral,Chardonnay
rich black acidity,Portuguese Red
light earth crisp,Sparkling Blend
black cherry vanilla black pepper fruit acidity apple,Cabernet Sauvignon
creamy apple lemon lemon fruit,Chardonnay
fruit acid tannin,Pinot Noir
red berry oak red cherry white pepper acidity,Nebbiolo
berry,Tempranillo
cherry black earth black cherry berry,Red Blend
white citrus acidity,Grüner Veltliner
structure earth oak red cherry fruit,Pinot Noir
fruit red acidity,Pinot Noir
fruit light,Pinot Noir
pear fruit crisp fruit acidity,Pinot Gris
structure acidity acidity,Pinot Noir
fruit lemon acidity crisp,White Blend
white fruit mineral,White Blend
citrus apple fruit white,Albariño
apple pear fruit sweet acidity,Riesling
dry black cherry berry rich,Cabernet Sauvignon
black dry fruit,Cabernet Sauvignon
oak black pepper,Merlot
tannin oak,Red Blend
berry cherry,Tempranillo
black vanilla earth cherry black acidity,Tempranillo
red oak oak black cherry rich,Cabernet Sauvignon
black,Cabernet Sauvignon
spicy oak black cherry,Cabernet Sauvignon
creamy light butter citrus vanilla apple light,Chardonnay
earth berry black cherry,Sangiovese
fruit light,Bordeaux-style Red Blend
apple mineral acidity citrus,Albariño
rich structure cherry acidity,Pinot Noir
earth black cherry,Sangiovese
black fruit oak black cherry vanilla,Sangiovese
lemon white vanilla lemon,White Blend
earth cherry vanilla,Sangiovese
earth cherry black,Sangiovese
berry red cherry,Sangiovese
apple apple,White Blend
cherry,Rhône-style Red Blend
black black fruit tannin,Cabernet Sauvignon
acidity light,Sauvignon Blanc
oak,Chardonnay
oak vanilla,Chardonnay
oak apple oak vanilla white pepper,White Blend
berry red black cherry white pepper,Sangiovese
oak acidity lemon apple,Chardonnay
oak black cherry,Cabernet Sauvignon
oak oak,Rhône-style Red Blend
spicy red cherry acidity,Tempranillo
vanilla black cherry,Sangiovese
black black cherry pepper,Red Blend
earth berry black cherry,Sangiovese
cherry vanilla cherry rich,Cabernet Sauvignon
cherry pepper light red,Zinfandel
light,Cabernet Franc
light wood red fruit sweet rich fruit,Grenache
crisp citrus pepper,Sparkling Blend
red red berry crisp red,Tempranillo
light red apple fruit,Sauvignon Blanc
wood wood rich black,Bordeaux-style Red Blend
fruit dry rich,Chardonnay
oak black cherry rich oak sweet oak,Cabernet Sauvignon
red vanilla cherry sweet dry,Cabernet Sauvignon
berry cherry,Sangiovese
oak wood vanilla oak,Sangiovese
wood fruit acidity fruit wood,Bordeaux-style White Blend
red black,Cabernet Sauvignon
red apple,Chardonnay
white dry sweet fruit,White Blend
black,Red Blend
mineral fruit dry creamy,Riesling
berry vanilla creamy oak acidity vanilla acidity,Tempranillo
crisp berry acidity,Tempranillo Blend
oak vanilla,Tempranillo
berry cherry black crisp,Red Blend
earth black cherry fruit,Sangiovese
fruit oak vanilla oak black fruit,Sangiovese
oak vanilla black fruit,Sangiovese
crisp red light,Rosé
oak,Chardonnay
sweet black cherry black fruit,Syrah
red berry fruit,Portuguese Red
acidity citrus,Sauvignon Blanc
crisp fruit acidity citrus creamy,Portuguese White
cherry red dry cherry,Rosé
spicy red berry berry,Malbec
apple citrus,Sauvignon Blanc
oak cherry,Cabernet Sauvignon
dry apple pear lemon,Viognier
wood cherry fruit,Merlot
fruit black cherry structure,Pinot Noir
crisp acidity lemon mineral,White Blend
berry sweet,Malbec
acidity sweet apple,Chardonnay
apple red apple pear,Sauvignon Blanc
acidity red fruit,Portuguese Red
dry red cherry,Pinot Noir
black,Red Blend
earth cherry fruit light acidity,Barbera
acidity black,Portuguese Red
light fruit red fruit acidity,Pinot Noir
berry black pepper fruit,Sangiovese
spicy red sweet berry,Red Blend
sweet rich fruit acidity mineral fruit,White Blend
apple spicy dry,Riesling
apple pear fruit vanilla,Chardonnay
vanilla,Bordeaux-style Red Blend
black black,Cabernet Sauvignon
oak black cherry,Pinot Noir
citrus,Pinot Noir
berry black pepper pepper acidity,Red Blend
structure,Syrah
black pepper acidity rich black,Syrah
black pepper black cherry,Red Blend
black fruit earth pepper,Cabernet Sauvignon
berry acidity,Red Blend
fruit black,Zinfandel
berry creamy oak,Red Blend
spicy crisp red light,Syrah
red black black black pepper acidity,Zinfandel
fruit acidity fruit,Pinot Noir
light crisp lemon,Albariño
black fruit oak,Red Blend
dry berry acidity cherry,Tempranillo
mineral citrus acidity lemon,Sparkling Blend
apple,Chardonnay
dry,Riesling
red rich acidity dry wood,Portuguese Red
spicy black berry fruit black black oak oak,Zinfandel
black vanilla,Bordeaux-style Red Blend
black red fruit black cherry,Red Blend
dry acidity fruit,Riesling
lemon acidity,Chardonnay
black berry acidity structure mineral,Portuguese Red
rich lemon crisp apple vanilla,Chardonnay
apple fruit white pepper,Chardonnay
cherry black pepper,Syrah
fruit acidity apple light creamy,Chardonnay
rich pepper light,Riesling
honey lemon acidity,Chardonnay
vanilla lemon acidity,Chardonnay
red cherry vanilla,Nebbiolo
vanilla,Viognier
red berry white pepper red cherry acidity,Nebbiolo
rich black rich structure fruit,Bordeaux-style Red Blend
structure fruit black dry,Portuguese Red
structure fruit,Riesling
rich pear vanilla oak apple white,Chardonnay
red berry berry pepper,Bordeaux-style Red Blend
oak light,Viognier
crisp apple,Chardonnay
cherry fruit,Cabernet Franc
black cherry,Zinfandel
sweet acidity,Riesling
red,Pinot Noir
wood rich wood fruit,Pinot Noir
red cherry light red cherry,Pinot Noir
tannin,Pinot Noir
white mineral light sweet,Riesling
white fruit white,White Blend
wood wood acidity fruit rich,Chardonnay
wood rich wood red wood,Pinot Noir
apple apple pepper apple lemon,White Blend
lemon oak mineral rich,Pinot Gris
red cherry berry,Zinfandel
oak oak apple pear lemon acidity,Chardonnay
spicy oak black cherry,Cabernet Sauvignon
berry structure oak dry,Tempranillo
berry spicy berry dry,Tempranillo Blend
fruit light spicy fruit oak,Merlot
apple pear fruit sweet acidity,Riesling
dry black cherry berry rich,Cabernet Sauvignon
black dry fruit,Cabernet Sauvignon
cherry fruit oak white pepper,Pinot Noir
fruit cherry citrus,Pinot Noir
rich fruit structure,Red Blend
red black cherry acidity,Cabernet Sauvignon
lemon citrus apple,Chardonnay
light crisp pear citrus fruit,Chardonnay
cherry acidity,Pinot Noir
cherry fruit cherry fruit lemon acidity,Pinot Noir
acidity fruit black vanilla,Pinot Noir
black cherry fruit,Bordeaux-style Red Blend
red cherry vanilla structure fruit black pepper,Pinot Noir
berry vanilla oak fruit,Tempranillo
rich black cherry fruit vanilla acidity structure,Syrah
crisp white acidity,Chardonnay
fruit spicy citrus cherry,Pinot Noir
berry rich fruit acidity,Zinfandel
honey vanilla oak,Chardonnay
black pepper,Cabernet Sauvignon
oak vanilla structure,Pinot Noir
red rich cherry red oak,Cabernet Sauvignon
fruit,Zinfandel
earth cherry vanilla,Red Blend
dry black,Zinfandel
spicy apple pear fruit,Chardonnay
rich acidity black mineral oak,Cabernet Sauvignon
wood rich pear wood,Portuguese White
fruit apple citrus mineral,Pinot Grigio
acidity cherry fruit,Pinot Noir
mineral dry cherry fruit acidity,Riesling
dry fruit acidity,Riesling
fruit sweet acidity,Riesling
dry,Riesling
fruit mineral apple honey crisp acidity crisp,White Blend
spicy pear butter rich acidity,Pinot Gris
fruit structure black mineral,Portuguese Red
rich oak fruit pear,Chardonnay
wood berry,Pinot Noir
dry,Chardonnay
rich black dry acidity,Red Blend
dry black cherry,Pinot Noir
acidity,Riesling
rich sweet citrus acidity,Riesling
fruit cherry crisp acidity,Riesling
fruit apple sweet cherry citrus acidity,Riesling
fruit lemon acidity,Riesling
acidity,Riesling
sweet pear lemon vanilla crisp acidity,Sauvignon Blanc
black,Bordeaux-style Red Blend
red fruit tannin rich acidity,Portuguese Red
white citrus pear apple acidity,Chardonnay
rich cherry,Cabernet Sauvignon
fruit black rich,Pinot Noir
cherry acidity,Nebbiolo
wood wood fruit,Portuguese Red
cherry acidity,Nebbiolo
vanilla black cherry berry red berry,Bordeaux-style Red Blend
pear crisp light honey lemon,Gewürztraminer
red berry black cherry acidity,Nebbiolo
red berry cherry black acidity,Nebbiolo
berry oak cherry tannin fruit,Nebbiolo
earth vanilla black cherry vanilla white pepper,Barbera
lemon,Albariño
black acidity mineral,Pinot Noir
black dry,Malbec
dry fruit acidity,Portuguese White
sweet dry spicy fruit,Gewürztraminer
rich spicy structure,Red Blend
lemon,Chardonnay
sweet lemon crisp,Riesling
black cherry fruit oak,Cabernet Sauvignon
fruit earth black cherry pepper acidity,Barbera
black cherry earth,Tempranillo
oak vanilla sweet,Nebbiolo
fruit oak,Pinot Noir
red fruit citrus,Grenache
fruit,Chardonnay
black cherry,Nebbiolo
berry rich black cherry sweet,Nebbiolo
oak vanilla oak wood oak,Nebbiolo
crisp cherry earth dry,Pinot Noir
acidity citrus crisp,Sauvignon Blanc
cherry berry black cherry black,Malbec
citrus light,Sauvignon Blanc
fruit fruit,Grenache
acidity wood structure black fruit,Bordeaux-style Red Blend
honey vanilla mineral rich creamy fruit,Chardonnay
crisp citrus mineral acidity,Sauvignon Blanc
black cherry white black pepper,Nebbiolo
sweet oak fruit rich red cherry vanilla,Pinot Noir
pepper dry rich,Gewürztraminer
citrus apple crisp structure,Sauvignon Blanc
black red,Pinot Noir
fruit light,Pinot Noir
light pear,Viognier
white black,White Blend
wood oak fruit oak wood,Nebbiolo
light pear citrus light apple,Chardonnay
spicy light acidity,Bordeaux-style White Blend
rich,Bordeaux-style White Blend
crisp acidity,Bordeaux-style White Blend
rich acidity,Bordeaux-style White Blend
black fruit pepper,Merlot
white acidity rich,Bordeaux-style White Blend
cherry fruit acidity crisp fruit,Pinot Noir
lemon light,Chardonnay
cherry oak,Pinot Noir
cherry fruit structure dry tannin fruit acidity,Pinot Noir
berry berry,Tempranillo
oak black fruit,Cabernet Sauvignon
rich apple fruit,Sparkling Blend
oak fruit acidity,Chardonnay
black,Pinot Noir
cherry red cherry,Pinot Noir
cherry rich crisp acidity,Cabernet Franc
rich black cherry fruit crisp acidity,Pinot Noir
black sweet black fruit,Syrah
earth black cherry,Sangiovese
oak wood creamy acidity lemon crisp,Chardonnay
earth black cherry,Sangiovese
fruit oak oak apple,Sauvignon Blanc
fruit black pepper acidity,Red Blend
fruit oak lemon apple honey pear acidity,Chardonnay
mineral acidity dry lemon citrus,Riesling
cherry,Cabernet Franc
red cherry black cherry fruit,Sangiovese
black cherry oak light black pepper,Zinfandel
citrus white spicy,Sauvignon Blanc
vanilla black fruit fruit,Bordeaux-style Red Blend
earth black fruit black cherry,Sangiovese
creamy fruit apple pear crisp,Pinot Gris
black tannin acidity,Cabernet Sauvignon
earth cherry,Red Blend
spicy fruit,Tempranillo
cherry berry citrus,Rosé
red dry,Red Blend
lemon citrus fruit,Sauvignon Blanc
acidity,Sauvignon Blanc
light red cherry,Red Blend
crisp acidity,Rosé
red acidity,Red Blend
red oak fruit,Cabernet Sauvignon
light acidity crisp red fruit,Portuguese Red
light acidity crisp,Rosé
structure black fruit acidity,Malbec
acidity crisp,Sauvignon Blanc
sweet red spicy,Cabernet Sauvignon
spicy dry,Merlot
berry acid berry,Malbec
white fruit creamy,White Blend
wood red berry fruit acidity,Portuguese Red
apple pear rich fruit,Chardonnay
berry acidity acidity black,Bordeaux-style Red Blend
berry,Red Blend
white light,Sauvignon Blanc
light fruit,Rhône-style Red Blend
citrus,Sparkling Blend
red crisp red fruit spicy oak acidity,Cabernet Sauvignon
apple citrus creamy apple vanilla citrus,Chardonnay
citrus,Chardonnay
dry black,Malbec
oak,Red Blend
apple apple citrus crisp,Chardonnay
honey acidity white pear,Riesling
lemon citrus,Chardonnay
light red fruit vanilla oak,Tempranillo
red white pepper,Red Blend
black black pepper,Red Blend
berry vanilla,Cabernet Sauvignon
oak fruit butter,Pinot Noir
dry spicy pear honey,Pinot Gris
berry black cherry sweet,Pinot Noir
black fruit black pepper,Red Blend
creamy oak vanilla spicy,Syrah
fruit,Pinot Noir
fruit acidity black,Syrah
pepper red oak vanilla,Cabernet Franc
fruit,Riesling
dry,Rosé
fruit acidity,Red Blend
black fruit oak vanilla black cherry fruit,Red Blend
wood fruit,Portuguese Red
fruit sweet wood,Portuguese Red
berry dry,Portuguese Red
pepper acidity pepper,Sauvignon Blanc
acidity rich red apple,White Blend
fruit,Sangiovese
berry red berry,Sangiovese
oak vanilla cherry,Cabernet Sauvignon
berry,Sangiovese
red fruit fruit,Bordeaux-style Red Blend
acidity black,Bordeaux-style Red Blend
fruit crisp wood,Bordeaux-style White Blend
red structure,Bordeaux-style Red Blend
fruit sweet acidity black,Bordeaux-style Red Blend
rich rich structure dry,Bordeaux-style Red Blend
red acidity,Bordeaux-style Red Blend
cherry pepper fruit,Red Blend
rich cherry berry tannin acidity,Red Blend
fruit wood dry fruit,Bordeaux-style Red Blend
vanilla,Syrah
crisp acidity,Sauvignon Blanc
sweet oak red cherry acidity,Cabernet Sauvignon
black pepper fruit,Red Blend
oak vanilla fruit acidity,Bordeaux-style Red Blend
red pepper,Zinfandel
vanilla dry,Red Blend
pear rich citrus apple,Chardonnay
acidity oak,Cabernet Sauvignon
light dry red berry black acidity,Bordeaux-style Red Blend
oak oak apple pear lemon acidity,Chardonnay
wood wood acidity fruit rich,Chardonnay
wood rich wood red wood,Pinot Noir
apple apple pepper apple lemon,White Blend
white fruit white,White Blend
lemon oak mineral rich,Pinot Gris
rich black red fruit black pepper,Cabernet Sauvignon
pear lemon dry,Riesling
oak tannin,Merlot
black oak,Cabernet Sauvignon
spicy fruit dry,Barbera
black pepper black red fruit,Red Blend
fruit black berry,Tempranillo
spicy berry spicy acidity,Red Blend
berry lemon,Tempranillo Blend
structure,Rhône-style Red Blend
black cherry black red cherry fruit black pepper,Zinfandel
berry cherry acidity,Syrah
honey light,Riesling
cherry oak fruit,Cabernet Franc
oak black fruit,Cabernet Sauvignon
rich apple fruit,Sparkling Blend
oak rich,Merlot
white fruit lemon,Sparkling Blend
crisp,Cabernet Sauvignon
cherry berry cherry acidity,Pinot Noir
acidity citrus apple,Chardonnay
acidity rich fruit,Sauvignon Blanc
spicy fruit acidity,Pinot Noir
red fruit,Syrah
black cherry red black cherry,Syrah
red dry,Pinot Noir
fruit acidity lemon,Sauvignon Blanc
black rich fruit fruit,Pinot Noir
berry black cherry,Sangiovese
cherry berry citrus,Rosé
earth cherry,Red Blend
spicy fruit,Tempranillo
cherry black cherry,Sangiovese
berry black cherry white pepper,Red Blend
black cherry berry,Tempranillo
earth black cherry pepper,Red Blend
red berry red cherry white pepper acidity,Red Blend
berry red black cherry,Sangiovese
red berry red black cherry vanilla,Red Blend
black black pepper black wood black pepper,Cabernet Sauvignon
oak light,Viognier
crisp apple,Chardonnay
rich pear vanilla oak apple white,Chardonnay
red berry berry pepper,Bordeaux-style Red Blend
black pepper cherry berry fruit,Nebbiolo
rich light fruit,Riesling
sweet oak vanilla oak black cherry,Nebbiolo
black cherry white pepper,Nebbiolo
cherry fruit structure acidity,Zinfandel
apple butter vanilla,Chardonnay
berry cherry vanilla acidity,Nebbiolo
wood acidity,Portuguese Red
structure black,Portuguese Red
crisp acidity fruit,Riesling
sweet rich fruit acidity,Riesling
black pepper acidity,Syrah
oak cherry red structure,Merlot
red acid red fruit berry cherry mineral structure,Cabernet Sauvignon
red fruit fruit acidity,Rhône-style Red Blend
berry dry black dry,Red Blend
citrus dry acidity fruit,Riesling
pepper,Red Blend
pear lemon,Chardonnay
mineral citrus white pepper,White Blend
oak black cherry mineral,Red Blend
acidity rich fruit mineral structure,Gewürztraminer
oak berry wood rich berry oak,Malbec
black pepper white pepper black black pepper,Syrah
pear fruit apple lemon acidity,Chardonnay
fruit black pepper light structure fruit,Syrah
acidity light,Syrah
light apple,Chardonnay
wood rich spicy fruit red lemon acidity,Rosé
wood crisp acidity mineral,Rosé
rich berry fruit structure,Malbec
dry fruit red lemon rich,Rosé
red citrus,Rosé
rich black cherry acidity,Cabernet Sauvignon
apple,Sauvignon Blanc
oak rich oak black,Red Blend
structure lemon citrus apple fruit,Chardonnay
rich oak fruit,Cabernet Sauvignon
pepper red fruit,Syrah
rich structure,Pinot Noir
black cherry,Pinot Noir
rich apple pear fruit light,Sparkling Blend
light pepper,Syrah
black oak oak,Tempranillo
red cherry rich red,Pinot Noir
acidity apple creamy pear acidity,Chardonnay
red berry,Pinot Noir
fruit,Pinot Noir
black cherry red cherry acidity,Pinot Noir
black fruit oak vanilla black cherry fruit,Red Blend
wood fruit,Portuguese Red
fruit sweet wood,Portuguese Red
berry dry,Portuguese Red
fruit acidity,Red Blend
pepper acidity pepper,Sauvignon Blanc
acidity rich red apple,White Blend
citrus pepper acidity lemon crisp,Sauvignon Blanc
white vanilla apple,Chardonnay
black rich fruit acidity,Rhône-style Red Blend
lemon dry white white,Pinot Gris
acidity red berry,Red Blend
red cherry acidity,Red Blend
apple lemon apple white,Sparkling Blend
fruit black,Red Blend
spicy pear fruit white pepper,Pinot Gris
earth berry crisp red berry,Cabernet Sauvignon
black fruit red black,Cabernet Sauvignon
oak black oak black pepper black,Red Blend
fruit acidity,Rosé
crisp dry cherry,Cabernet Sauvignon
sweet,Red Blend
spicy black black cherry,Red Blend
fruit cherry light fruit,Pinot Noir
black acidity fruit,Portuguese Red
fruit earth,Pinot Noir
white citrus lemon white fruit rich,White Blend
berry cherry black,Nebbiolo
berry,Tempranillo
black red berry wood acidity,Portuguese Red
fruit sweet,Red Blend
oak berry cherry oak,Tempranillo Blend
black fruit black cherry,Barbera
red red pepper berry black white cherry,Cabernet Sauvignon
tannin oak spicy,Pinot Noir
apple pear citrus sweet,Riesling
white pepper fruit spicy,Pinot Noir
black acidity vanilla vanilla,Cabernet Sauvignon
red black cherry pepper,Nebbiolo
wood oak crisp acidity,Portuguese White
lemon apple,Chardonnay
cherry black pepper,Red Blend
citrus,Chardonnay
fruit black cherry fruit,Pinot Noir
black cherry cherry cherry pepper light,Cabernet Sauvignon
berry black cherry,Nebbiolo
cherry berry vanilla spicy red fruit,Cabernet Sauvignon
red berry cherry acidity,Nebbiolo
black cherry,Nebbiolo
red berry red cherry white pepper,Nebbiolo
earth berry black cherry acidity,Nebbiolo
berry red black cherry white pepper,Nebbiolo
cherry oak berry,Tempranillo
berry cherry,Nebbiolo
oak fruit creamy fruit vanilla,Pinot Noir
